trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,max_epochs,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
142,2025-09-23T16:11:05.482916,0.01,32,15,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
143,2025-09-23T16:11:05.566781,0.01,32,15,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
144,2025-09-23T16:11:05.646720,0.01,64,5,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
145,2025-09-23T16:11:05.726307,0.01,64,5,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
146,2025-09-23T16:11:05.805733,0.01,64,5,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
147,2025-09-23T16:11:05.885173,0.01,64,5,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
148,2025-09-23T16:11:05.965387,0.01,64,5,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
149,2025-09-23T16:11:06.047155,0.01,64,5,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
150,2025-09-23T16:11:06.126946,0.01,64,5,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
151,2025-09-23T16:11:06.206693,0.01,64,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
152,2025-09-23T16:11:06.286144,0.01,64,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
153,2025-09-23T16:11:06.365942,0.01,64,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
154,2025-09-23T16:11:06.446315,0.01,64,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
155,2025-09-23T16:11:06.526210,0.01,64,5,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
156,2025-09-23T16:11:06.608262,0.01,64,10,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
157,2025-09-23T16:11:06.691079,0.01,64,10,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
158,2025-09-23T16:11:06.772774,0.01,64,10,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
159,2025-09-23T16:11:06.854893,0.01,64,10,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
160,2025-09-23T16:11:06.937080,0.01,64,10,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
161,2025-09-23T16:11:07.019342,0.01,64,10,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
162,2025-09-23T16:11:07.101439,0.01,64,10,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
163,2025-09-23T16:11:07.183440,0.01,64,10,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
164,2025-09-23T16:11:07.265738,0.01,64,10,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
165,2025-09-23T16:11:07.348070,0.01,64,10,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
166,2025-09-23T16:11:07.430235,0.01,64,10,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
167,2025-09-23T16:11:07.512302,0.01,64,10,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
168,2025-09-23T16:11:07.596811,0.01,64,15,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
169,2025-09-23T16:11:07.681243,0.01,64,15,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
170,2025-09-23T16:11:07.765446,0.01,64,15,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
171,2025-09-23T16:11:07.850201,0.01,64,15,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
172,2025-09-23T16:11:07.934947,0.01,64,15,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
173,2025-09-23T16:11:08.020070,0.01,64,15,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
174,2025-09-23T16:11:08.104646,0.01,64,15,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
175,2025-09-23T16:11:08.189291,0.01,64,15,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
176,2025-09-23T16:11:08.274518,0.01,64,15,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
177,2025-09-23T16:11:08.359065,0.01,64,15,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
178,2025-09-23T16:11:08.443732,0.01,64,15,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
179,2025-09-23T16:11:08.528612,0.01,64,15,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
180,2025-09-23T16:11:08.610580,0.01,128,5,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
181,2025-09-23T16:11:08.692455,0.01,128,5,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
182,2025-09-23T16:11:08.774482,0.01,128,5,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
183,2025-09-23T16:11:08.856960,0.01,128,5,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
184,2025-09-23T16:11:08.938555,0.01,128,5,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
185,2025-09-23T16:11:09.020640,0.01,128,5,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
186,2025-09-23T16:11:09.101974,0.01,128,5,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
187,2025-09-23T16:11:09.183762,0.01,128,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
188,2025-09-23T16:11:09.265280,0.01,128,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
189,2025-09-23T16:11:09.346747,0.01,128,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
190,2025-09-23T16:11:09.428159,0.01,128,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
