trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
46,2025-09-25T20:47:31.199033,0.01,128,5,0.3,tensor(62.6292),tensor(62.4071),0.0,0.0,tensor(0.5244),tensor(0.5223),0.27161164954304695,0.2714751213788986,8.744266510009766,8.557188034057617
47,2025-09-25T20:53:26.564056,0.01,128,5,0.4,tensor(62.6292),tensor(62.4071),0.0,0.0,tensor(0.5244),tensor(0.5223),0.27161164954304695,0.2714751213788986,8.54839301109314,8.5755033493042
48,2025-09-25T21:02:25.390719,0.01,128,10,0.2,tensor(62.8057),tensor(62.2098),0.0,0.0,tensor(0.5229),tensor(0.5239),1.0670570507645607,1.0671138688921928,9.033137559890747,8.96838665008545
49,2025-09-25T21:11:23.199098,0.01,128,10,0.3,tensor(62.8057),tensor(62.2098),0.0,0.0,tensor(0.5229),tensor(0.5239),1.0670570507645607,1.0671138688921928,8.964246988296509,8.92862343788147
50,2025-09-25T21:20:17.255554,0.01,128,10,0.4,tensor(62.8057),tensor(62.2098),0.0,0.0,tensor(0.5229),tensor(0.5239),1.0670570507645607,1.0671138688921928,9.02931809425354,8.912721395492554
51,2025-09-25T21:32:09.625379,0.01,128,15,0.2,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),0.9821239449083805,0.9821042753756046,9.494894027709961,9.370962619781494
52,2025-09-25T21:44:07.663874,0.01,128,15,0.3,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),0.9821239449083805,0.9821042753756046,9.46928334236145,9.40865421295166
53,2025-09-25T21:56:08.875978,0.01,128,15,0.4,tensor(62.7552),tensor(62.4100),0.0,0.0,tensor(0.5233),tensor(0.5222),0.9821239449083805,0.9821042753756046,9.349611282348633,9.296751499176025
54,2025-09-25T22:00:10.139344,0.0001,32,5,0.2,tensor(75.5806),tensor(75.6324),0.0,0.0,tensor(0.4345),tensor(0.4309),2.3981372714042664,2.3939789682626724,8.481985807418823,8.454036712646484
55,2025-09-25T22:04:11.827290,0.0001,32,5,0.3,tensor(75.5806),tensor(75.6324),0.0,0.0,tensor(0.4345),tensor(0.4309),2.3981372714042664,2.3939789682626724,8.486337661743164,8.474468469619751
56,2025-09-25T22:08:14.480497,0.0001,32,5,0.4,tensor(75.5806),tensor(75.6324),0.0,0.0,tensor(0.4345),tensor(0.4309),2.3981372714042664,2.3939789682626724,8.474669933319092,8.416457653045654
57,2025-09-25T22:13:45.138051,0.0001,32,10,0.2,tensor(73.4311),tensor(73.4540),0.0,0.0,tensor(0.4472),tensor(0.4437),1.6039970964193344,1.6013777926564217,8.723771333694458,8.718186855316162
58,2025-09-25T22:19:14.060963,0.0001,32,10,0.3,tensor(73.4311),tensor(73.4540),0.0,0.0,tensor(0.4472),tensor(0.4437),1.6039970964193344,1.6013777926564217,8.717889547348022,8.734125137329102
59,2025-09-25T22:24:44.236880,0.0001,32,10,0.4,tensor(73.4311),tensor(73.4540),0.0,0.0,tensor(0.4472),tensor(0.4437),1.6039970964193344,1.6013777926564217,8.661907196044922,8.673858642578125
60,2025-09-25T22:31:39.800383,0.0001,32,15,0.2,tensor(55.8304),tensor(55.5454),0.0,0.0,tensor(0.5882),tensor(0.5868),11.675159752368927,11.615402281284332,8.756688833236694,8.731353521347046
61,2025-09-25T22:38:35.354979,0.0001,32,15,0.3,tensor(55.8304),tensor(55.5454),0.0,0.0,tensor(0.5882),tensor(0.5868),11.675159752368927,11.615402281284332,8.79169750213623,8.752891302108765
62,2025-09-25T22:45:32.192579,0.0001,32,15,0.4,tensor(55.8304),tensor(55.5454),0.0,0.0,tensor(0.5882),tensor(0.5868),11.675159752368927,11.615402281284332,8.776573896408081,8.707536935806274
63,2025-09-25T22:50:07.498277,0.0001,64,5,0.2,tensor(74.5322),tensor(74.0269),0.0,0.0,tensor(0.4406),tensor(0.4403),0.9730534218251705,0.9714538380503654,8.648873567581177,8.667067050933838
64,2025-09-25T22:54:43.292028,0.0001,64,5,0.3,tensor(74.5322),tensor(74.0269),0.0,0.0,tensor(0.4406),tensor(0.4403),0.9730534218251705,0.9714538380503654,8.695408344268799,8.63752293586731
65,2025-09-25T22:59:18.745365,0.0001,64,5,0.4,tensor(74.5322),tensor(74.0269),0.0,0.0,tensor(0.4406),tensor(0.4403),0.9730534218251705,0.9714538380503654,8.680922508239746,8.777889490127563
66,2025-09-25T23:05:50.398511,0.0001,64,10,0.2,tensor(67.0884),tensor(65.4347),0.0,0.0,tensor(0.4895),tensor(0.4981),4.363846600055695,4.355635941028595,8.539001226425171,8.527692317962646
