==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
395    0.0000       0.11         1.57         N/A          N/A         
396    0.0000       0.03         1.55         N/A          N/A         
397    0.0000       0.17         1.59         N/A          N/A         
398    0.0000       0.28         1.59         N/A          N/A         
399    0.0000       0.10         1.60         N/A          N/A         
400    0.0000       0.06         1.56         N/A          N/A         
401    0.0000       0.11         1.57         N/A          N/A         
402    0.0000       0.04         1.54         N/A          N/A         
403    0.0000       0.41         1.54         N/A          N/A         
404    0.0000       0.06         1.55         N/A          N/A         
405    0.0000       0.03         1.54         N/A          N/A         
406    0.0001       0.12         1.62         N/A          N/A         
407    0.0000       0.02         1.53         N/A          N/A         
408    0.0000       0.09         1.52         N/A          N/A         
409    0.0000       0.10         1.54         N/A          N/A         
410    0.0000       0.11         1.57         N/A          N/A         
411    0.0000       0.14         1.51         N/A          N/A         
412    0.0000       0.06         1.52         N/A          N/A         
413    0.0000       0.07         1.55         N/A          N/A         
414    0.0000       0.06         1.52         N/A          N/A         
415    0.0000       0.06         1.53         N/A          N/A         
416    0.0000       0.10         1.55         N/A          N/A         
417    0.0000       0.25         1.57         N/A          N/A         
418    0.0000       0.05         1.53         N/A          N/A         
419    0.0000       0.02         1.52         N/A          N/A         
420    0.0000       0.07         1.54         N/A          N/A         
421    0.0000       0.00         1.51         N/A          N/A         
422    0.0000       0.05         1.51         N/A          N/A         
423    0.0000       0.00         1.48         N/A          N/A         
424    0.0000       0.06         1.54         N/A          N/A         
425    0.0000       0.14         1.55         N/A          N/A         
426    0.0000       0.11         1.54         N/A          N/A         
427    0.0000       0.04         1.57         N/A          N/A         
428    0.0000       0.05         1.54         N/A          N/A         
429    0.0000       0.09         1.56         N/A          N/A         
430    0.0000       0.10         1.57         N/A          N/A         
431    0.0000       0.07         1.48         N/A          N/A         
432    0.0000       0.00         1.57         N/A          N/A         
433    0.0000       0.03         1.57         N/A          N/A         
